         274
    1      1      2      3      4   -0.2109832863E+02   
    2      2      3      4      5   -0.2226537455E+02   
    3      3      4      5      6   -0.2272905799E+02   
    4      4      5      6      7   -0.2632497964E+02   
    5      5      6      7      8   -0.2719770560E+02   
    6      6      7      8      9   -0.2688454097E+02   
    7      7      8      9     10   -0.2655581717E+02   
    8      8      9     10     11   -0.2591499817E+02   
    9      9     10     11     12   -0.2687311194E+02   
   10     10     11     12     13   -0.2612110043E+02   
   11     11     12     13     14   -0.2690379284E+02   
   12     12     13     14     15   -0.2655571538E+02   
   13     13     14     15     16   -0.2291908045E+02   
   14     14     15     16     17   -0.2161314107E+02   
   15     15     16     17     18   -0.2149856989E+02   
   16     16     17     18     19   -0.2361735650E+02   
   17     17     18     19     20   -0.2201840438E+02   
   18     18     19     20     21   -0.2096748385E+02   
   19     19     20     21     22   -0.2018908826E+02   
   20     20     21     22     23   -0.2437650265E+02   
   21     21     22     23     24   -0.2641203591E+02   
   22      1      2      4      5   -0.3154368402E+01   
   23      2      3      5      6   -0.3486069287E+01   
   24      3      4      6      7   -0.4567259340E+01   
   25      4      5      7      8   -0.6400944652E+01   
   26      5      6      8      9   -0.7133254490E+01   
   27      6      7      9     10   -0.6990285489E+01   
   28      7      8     10     11   -0.6780717500E+01   
   29      8      9     11     12   -0.6751062232E+01   
   30      9     10     12     13   -0.6826307784E+01   
   31     10     11     13     14   -0.6966521695E+01   
   32     11     12     14     15   -0.6640644690E+01   
   33     12     13     15     16   -0.4980620093E+01   
   34     13     14     16     17   -0.3967174252E+01   
   35     14     15     17     18   -0.3504017968E+01   
   36     15     16     18     19   -0.3675332362E+01   
   37     16     17     19     20   -0.3809788186E+01   
   38     17     18     20     21   -0.3409838325E+01   
   39     18     19     21     22   -0.3323044930E+01   
   40     19     20     22     23   -0.3925307168E+01   
   41     20     21     23     24   -0.5071701896E+01   
   42      1      2      5      6   -0.8978988714E+00   
   43      2      3      6      7   -0.1050924705E+01   
   44      3      4      7      8   -0.1577342066E+01   
   45      4      5      8      9   -0.2494265452E+01   
   46      5      6      9     10   -0.2970698253E+01   
   47      6      7     10     11   -0.2867605872E+01   
   48      7      8     11     12   -0.2800547288E+01   
   49      8      9     12     13   -0.2820226160E+01   
   50      9     10     13     14   -0.2869239017E+01   
   51     10     11     14     15   -0.2616879026E+01   
   52     11     12     15     16   -0.1879313359E+01   
   53     12     13     16     17   -0.1483125757E+01   
   54     13     14     17     18   -0.1270137413E+01   
   55     14     15     18     19   -0.1059290278E+01   
   56     15     16     19     20   -0.1001200194E+01   
   57     16     17     20     21   -0.9944609637E+00   
   58     17     18     21     22   -0.1041746638E+01   
   59     18     19     22     23   -0.1288854594E+01   
   60     19     20     23     24   -0.1510950661E+01   
   61      1      2      6      7   -0.4425508332E+00   
   62      2      3      7      8   -0.4691047398E+00   
   63      3      4      8      9   -0.7151654913E+00   
   64      4      5      9     10   -0.1230022121E+01   
   65      5      6     10     11   -0.1526452944E+01   
   66      6      7     11     12   -0.1493192703E+01   
   67      7      8     12     13   -0.1476866862E+01   
   68      8      9     13     14   -0.1486061519E+01   
   69      9     10     14     15   -0.1304217378E+01   
   70     10     11     15     16   -0.9113804067E+00   
   71     11     12     16     17   -0.7539178860E+00   
   72     12     13     17     18   -0.6896167942E+00   
   73     13     14     18     19   -0.6039493001E+00   
   74     14     15     19     20   -0.4615911500E+00   
   75     15     16     20     21   -0.3984217448E+00   
   76     16     17     21     22   -0.4890755498E+00   
   77     17     18     22     23   -0.6341892807E+00   
   78     18     19     23     24   -0.6993053526E+00   
   79      1      2      7      8   -0.2715907308E+00   
   80      2      3      8      9   -0.2561478039E+00   
   81      3      4      9     10   -0.3850356999E+00   
   82      4      5     10     11   -0.6937111882E+00   
   83      5      6     11     12   -0.9032036845E+00   
   84      6      7     12     13   -0.9050200703E+00   
   85      7      8     13     14   -0.8898170484E+00   
   86      8      9     14     15   -0.7542354438E+00   
   87      9     10     15     16   -0.5170410089E+00   
   88     10     11     16     17   -0.4408060436E+00   
   89     11     12     17     18   -0.4230524207E+00   
   90     12     13     18     19   -0.3990293548E+00   
   91     13     14     19     20   -0.3473228405E+00   
   92     14     15     20     21   -0.2534032847E+00   
   93     15     16     21     22   -0.2703571433E+00   
   94     16     17     22     23   -0.3759748261E+00   
   95     17     18     23     24   -0.4112146972E+00   
   96      1      2      8      9   -0.1839834702E+00   
   97      2      3      9     10   -0.1590901208E+00   
   98      3      4     10     11   -0.2305076524E+00   
   99      4      5     11     12   -0.4340621485E+00   
  100      5      6     12     13   -0.5932986330E+00   
  101      6      7     13     14   -0.5938610158E+00   
  102      7      8     14     15   -0.4847719276E+00   
  103      8      9     15     16   -0.3271722459E+00   
  104      9     10     16     17   -0.2830207826E+00   
  105     10     11     17     18   -0.2767816211E+00   
  106     11     12     18     19   -0.2699519883E+00   
  107     12     13     19     20   -0.2547939943E+00   
  108     13     14     20     21   -0.2212391561E+00   
  109     14     15     21     22   -0.2115546913E+00   
  110     15     16     22     23   -0.2358493747E+00   
  111     16     17     23     24   -0.2661265916E+00   
  112      1      2      9     10   -0.1331218494E+00   
  113      2      3     10     11   -0.1072180846E+00   
  114      3      4     11     12   -0.1507168709E+00   
  115      4      5     12     13   -0.2957748203E+00   
  116      5      6     13     14   -0.4095341997E+00   
  117      6      7     14     15   -0.3393073220E+00   
